id,data_size_bytes,security_level,latency_sensitivity,bandwidth_constraint,recommended_kem,recommended_signature
459,823390,2,low,False,ML-KEM-1024,ML-DSA-65
460,689760,1,high,False,ML-KEM-1024,ML-DSA-44
461,574836,1,low,False,ML-KEM-1024,ML-DSA-65
462,459147,2,medium,True,ML-KEM-1024,ML-DSA-87
463,764641,5,medium,True,ML-KEM-1024,ML-DSA-87
464,741245,5,medium,True,ML-KEM-1024,ML-DSA-87
465,784200,1,medium,True,ML-KEM-1024,ML-DSA-87
466,581463,5,high,True,ML-KEM-1024,ML-DSA-87
467,635201,2,low,False,ML-KEM-1024,ML-DSA-65
468,583863,1,low,True,ML-KEM-1024,ML-DSA-87
469,639334,1,low,False,ML-KEM-1024,ML-DSA-65
470,436302,2,high,False,ML-KEM-1024,ML-DSA-44
471,859247,1,medium,True,ML-KEM-1024,ML-DSA-87
472,353333,1,high,True,ML-KEM-1024,ML-DSA-87
473,729670,3,low,True,ML-KEM-1024,ML-DSA-87
474,893778,1,high,False,ML-KEM-1024,ML-DSA-44
475,935313,1,low,True,ML-KEM-1024,ML-DSA-87
476,64059,2,high,False,ML-KEM-768,ML-DSA-44
477,370801,4,high,False,ML-KEM-1024,ML-DSA-87
478,73670,5,low,False,ML-KEM-768,ML-DSA-87
479,14559,1,medium,True,ML-KEM-768,ML-DSA-87
480,900959,5,low,True,ML-KEM-1024,ML-DSA-87
481,295538,2,medium,True,ML-KEM-1024,ML-DSA-87
482,790885,5,medium,True,ML-KEM-1024,ML-DSA-87
483,919379,3,medium,False,ML-KEM-1024,ML-DSA-65
484,434193,3,low,True,ML-KEM-1024,ML-DSA-87
485,872190,5,low,False,ML-KEM-1024,ML-DSA-87
486,437475,4,high,True,ML-KEM-1024,ML-DSA-87
487,60081,5,high,True,ML-KEM-768,ML-DSA-87
488,216050,4,high,True,ML-KEM-1024,ML-DSA-87
489,269378,4,medium,False,ML-KEM-1024,ML-DSA-87
490,252597,5,medium,False,ML-KEM-1024,ML-DSA-87
491,917392,5,medium,False,ML-KEM-1024,ML-DSA-87
492,602362,4,medium,True,ML-KEM-1024,ML-DSA-87
493,682738,3,low,True,ML-KEM-1024,ML-DSA-87
494,281718,2,low,True,ML-KEM-1024,ML-DSA-87
495,184670,4,low,True,ML-KEM-1024,ML-DSA-87
496,856752,2,medium,False,ML-KEM-1024,ML-DSA-65
497,323101,1,medium,True,ML-KEM-1024,ML-DSA-87
498,268803,5,low,False,ML-KEM-1024,ML-DSA-87
499,396903,4,low,False,ML-KEM-1024,ML-DSA-87
